,start_time,finish_time,s,emotion_level,subject
283,00:08:13.180,00:08:14.140,x,,
284,00:08:14.140,00:08:15.040,s,,
285,00:08:15.040,00:08:15.140,x,,
286,00:08:15.140,00:08:15.740,s,,
287,00:08:15.740,00:08:16.580,x,,
288,00:08:16.580,00:08:17.300,s,,
289,00:08:17.300,00:08:17.460,x,,
290,00:08:17.460,00:08:19.500,s,,
291,00:08:19.500,00:08:19.600,x,,
292,00:08:19.600,00:08:20.180,s,,
293,00:08:20.180,00:08:20.680,x,,
294,00:08:20.680,00:08:21.420,s,,
295,00:08:21.420,00:08:21.860,x,,
296,00:08:21.860,00:08:25.340,s,,
297,00:08:25.340,00:08:26.080,x,,
298,00:08:26.080,00:08:26.580,s,,
299,00:08:26.580,00:08:26.820,x,,
300,00:08:26.820,00:08:28.380,s,,
301,00:08:28.380,00:08:33.480,x,,
302,00:08:33.480,00:08:34.100,s,,
303,00:08:34.100,00:08:34.500,x,,
304,00:08:34.500,00:08:35.080,s,,
305,00:08:35.080,00:08:35.280,x,,
306,00:08:35.280,00:08:35.680,s,,
307,00:08:35.680,00:08:36.720,x,,
308,00:08:36.720,00:08:37.700,s,,
309,00:08:37.700,00:08:37.900,x,,
310,00:08:37.900,00:08:40.180,s,,
311,00:08:40.180,00:08:40.340,x,,
312,00:08:40.340,00:08:40.860,s,,
313,00:08:40.860,00:08:40.980,x,,
314,00:08:40.980,00:08:42.060,s,,
315,00:08:42.060,00:08:43.040,x,,
316,00:08:43.040,00:08:45.220,s,,
317,00:08:45.220,00:08:45.820,x,,
318,00:08:45.820,00:08:47.180,s,,
319,00:08:47.180,00:08:47.400,x,,
320,00:08:47.400,00:08:47.800,s,,
321,00:08:47.800,00:08:47.980,x,,
322,00:08:47.980,00:08:49.140,s,,
323,00:08:49.140,00:08:50.620,x,,
324,00:08:50.620,00:08:53.580,s,,
325,00:08:53.580,00:08:53.920,x,,
326,00:08:53.920,00:08:54.360,s,,
327,00:08:54.360,00:08:54.640,x,,
328,00:08:54.640,00:08:57.440,s,,
329,00:08:57.440,00:08:57.960,x,,
330,00:08:57.960,00:08:59.340,s,,
331,00:08:59.340,00:09:04.280,x,3.0,A
332,00:09:04.280,00:09:04.760,s,,
333,00:09:04.760,00:09:05.680,x,,
334,00:09:05.680,00:09:06.220,s,,
335,00:09:06.220,00:09:09.160,x,,
336,00:09:09.160,00:09:13.160,s,,
337,00:09:13.160,00:09:13.400,x,,
338,00:09:13.400,00:09:15.320,s,,
339,00:09:15.320,00:09:16.020,x,0.0,B
340,00:09:16.020,00:09:17.260,s,0.0,B
341,00:09:17.260,00:09:17.620,x,0.0,B
342,00:09:17.620,00:09:18.560,s,0.0,B
343,00:09:18.560,00:09:18.680,x,,
344,00:09:18.680,00:09:19.420,s,,
345,00:09:19.420,00:09:19.820,x,,
346,00:09:19.820,00:09:21.900,s,,
347,00:09:21.900,00:09:22.020,x,,
348,00:09:22.020,00:09:22.480,s,,
349,00:09:22.480,00:09:23.660,x,,
350,00:09:23.660,00:09:26.580,s,,
351,00:09:26.580,00:09:26.900,x,,
352,00:09:26.900,00:09:28.720,s,,
353,00:09:28.720,00:09:36.020,x,2.0,A
354,00:09:36.020,00:09:36.380,s,,
355,00:09:36.380,00:09:37.500,x,,
356,00:09:37.500,00:09:38.660,s,,
357,00:09:38.660,00:09:40.100,x,4.0,B
358,00:09:40.100,00:09:40.800,s,4.0,B
359,00:09:40.800,00:09:45.160,x,4.0,B
360,00:09:45.160,00:09:45.880,s,,
361,00:09:45.880,00:09:47.680,x,,
362,00:09:47.680,00:09:48.400,s,,
363,00:09:48.400,00:09:48.880,x,,
364,00:09:48.880,00:09:49.380,s,,
365,00:09:49.380,00:09:54.740,x,,
366,00:09:54.740,00:09:55.700,s,1.0,B
367,00:09:55.700,00:09:57.200,x,,
368,00:09:57.200,00:09:57.640,s,3.0,B
369,00:09:57.640,00:10:02.760,x,3.0,B
370,00:10:02.760,00:10:04.040,s,,
371,00:10:04.040,00:10:04.200,x,,
372,00:10:04.200,00:10:05.220,s,,
373,00:10:05.220,00:10:05.900,x,,
374,00:10:05.900,00:10:08.300,s,,
375,00:10:08.300,00:10:15.780,x,1.0,D
376,00:10:15.780,00:10:16.320,s,,
377,00:10:16.320,00:10:16.520,x,,
378,00:10:16.520,00:10:17.440,s,,
379,00:10:17.440,00:10:21.460,x,,
380,00:10:21.460,00:10:21.980,s,,
381,00:10:21.980,00:10:23.060,x,,
382,00:10:23.060,00:10:23.600,s,,
383,00:10:23.600,00:10:23.880,x,,
384,00:10:23.880,00:10:24.500,s,,
385,00:10:24.500,00:10:26.340,x,,
386,00:10:26.340,00:10:26.720,s,,
387,00:10:26.720,00:10:27.520,x,,
388,00:10:27.520,00:10:28.120,s,,
389,00:10:28.120,00:10:28.360,x,,
390,00:10:28.360,00:10:30.360,s,,
391,00:10:30.360,00:10:30.580,x,,
392,00:10:30.580,00:10:32.340,s,,
393,00:10:32.340,00:10:32.560,x,,
394,00:10:32.560,00:10:36.320,s,,
395,00:10:36.320,00:10:37.380,x,,
396,00:10:37.380,00:10:38.220,s,,
397,00:10:38.220,00:10:40.840,x,3.0,B
398,00:10:40.840,00:10:41.340,s,3.0,B
399,00:10:41.340,00:10:45.780,x,,
400,00:10:45.780,00:10:46.240,s,,
401,00:10:46.240,00:10:49.660,x,,
402,00:10:49.660,00:10:50.840,s,,
403,00:10:50.840,00:10:52.280,x,,
404,00:10:52.280,00:10:52.760,s,,
405,00:10:52.760,00:10:53.680,x,,
406,00:10:53.680,00:10:54.380,s,,
407,00:10:54.380,00:10:54.560,x,,
408,00:10:54.560,00:10:56.460,s,,
409,00:10:56.460,00:11:04.280,x,4.0,A
410,00:11:04.280,00:11:04.680,s,,
411,00:11:04.680,00:11:06.520,x,,
412,00:11:06.520,00:11:07.300,s,,
413,00:11:07.300,00:11:08.380,x,0.0,D
414,00:11:08.380,00:11:08.740,s,0.0,D
415,00:11:08.740,00:11:10.680,x,0.0,D
416,00:11:10.680,00:11:11.500,s,0.0,A
417,00:11:11.500,00:11:12.220,x,0.0,A
418,00:11:12.220,00:11:12.680,s,,
419,00:11:12.680,00:11:12.740,x,,
420,00:11:12.740,00:11:13.360,s,,
421,00:11:13.360,00:11:13.960,x,,
422,00:11:13.960,00:11:16.000,s,,
423,00:11:16.000,00:11:16.460,x,,
424,00:11:16.460,00:11:17.660,s,,
425,00:11:17.660,00:11:20.140,x,3.0,B
426,00:11:20.140,00:11:20.660,s,,
427,00:11:20.660,00:11:23.000,x,,
428,00:11:23.000,00:11:23.460,s,,
429,00:11:23.460,00:11:27.640,x,,
430,00:11:27.640,00:11:28.220,s,,
431,00:11:28.220,00:11:29.300,x,,
432,00:11:29.300,00:11:32.780,s,,
433,00:11:32.780,00:11:34.320,x,,
434,00:11:34.320,00:11:42.920,s,,
435,00:11:42.920,00:11:43.360,x,,
436,00:11:43.360,00:11:43.900,s,,
437,00:11:43.900,00:11:44.520,x,,
438,00:11:44.520,00:11:51.120,s,,
439,00:11:51.120,00:11:51.220,x,,
440,00:11:51.220,00:11:52.000,s,,
441,00:11:52.000,00:11:52.380,x,,
442,00:11:52.380,00:11:55.140,s,,
443,00:11:55.140,00:11:55.480,x,,
444,00:11:55.480,00:11:56.820,s,,
445,00:11:56.820,00:11:57.340,x,1.0,B
446,00:11:57.340,00:11:57.800,s,1.0,B
447,00:11:57.800,00:12:00.400,x,1.0,B
448,00:12:00.400,00:12:01.140,s,,
449,00:12:01.140,00:12:03.260,x,,
450,00:12:03.260,00:12:03.880,s,,
451,00:12:03.880,00:12:04.720,x,,
452,00:12:04.720,00:12:05.360,s,,
453,00:12:05.360,00:12:08.100,x,,
454,00:12:08.100,00:12:08.500,s,2.0,B
455,00:12:08.500,00:12:09.000,x,2.0,B
456,00:12:09.000,00:12:10.080,s,,
457,00:12:10.080,00:12:15.160,x,0.0,A
458,00:12:15.160,00:12:15.920,s,,
459,00:12:15.920,00:12:16.220,x,,
460,00:12:16.220,00:12:17.220,s,,
461,00:12:17.220,00:12:22.620,x,,
462,00:12:22.620,00:12:23.000,s,,
463,00:12:23.000,00:12:23.580,x,,
464,00:12:23.580,00:12:24.760,s,,
465,00:12:24.760,00:12:29.340,x,3.0,A
466,00:12:29.340,00:12:30.340,s,,
467,00:12:30.340,00:12:34.000,x,,
468,00:12:34.000,00:12:35.480,s,,
469,00:12:35.480,00:12:37.660,x,,
470,00:12:37.660,00:12:38.540,s,,
471,00:12:38.540,00:12:39.820,x,,
472,00:12:39.820,00:12:40.560,s,,
473,00:12:40.560,00:12:40.680,x,,
474,00:12:40.680,00:12:41.560,s,,
475,00:12:41.560,00:12:41.760,x,,
476,00:12:41.760,00:12:42.480,s,,
477,00:12:42.480,00:12:44.420,x,,
478,00:12:44.420,00:12:45.580,s,,
479,00:12:45.580,00:12:49.040,x,,
480,00:12:49.040,00:12:49.660,s,,
481,00:12:49.660,00:12:50.120,x,,
482,00:12:50.120,00:12:51.280,s,,
483,00:12:51.280,00:12:51.640,x,,
484,00:12:51.640,00:12:57.520,s,,
485,00:12:57.520,00:13:02.160,x,,
486,00:13:02.160,00:13:03.820,s,,
487,00:13:03.820,00:13:04.400,x,,
488,00:13:04.400,00:13:05.320,s,,
489,00:13:05.320,00:13:05.980,x,,
490,00:13:05.980,00:13:07.200,s,,
491,00:13:07.200,00:13:07.260,x,,
492,00:13:07.260,00:13:08.720,s,,
493,00:13:08.720,00:13:11.580,x,,
494,00:13:11.580,00:13:11.960,s,,
495,00:13:11.960,00:13:13.920,x,,
496,00:13:13.920,00:13:14.320,s,,
497,00:13:14.320,00:13:16.460,x,,
498,00:13:16.460,00:13:16.900,s,2.0,A
499,00:13:16.900,00:13:18.020,x,2.0,A
500,00:13:18.020,00:13:18.800,s,,
501,00:13:18.800,00:13:20.780,x,,
502,00:13:20.780,00:13:22.020,s,2.0,B
503,00:13:22.020,00:13:28.100,x,2.0,B
504,00:13:28.100,00:13:28.940,s,,
505,00:13:28.940,00:13:30.280,x,,
506,00:13:30.280,00:13:30.720,s,,
507,00:13:30.720,00:13:31.500,x,,
508,00:13:31.500,00:13:32.360,s,,
509,00:13:32.360,00:13:34.460,x,,
510,00:13:34.460,00:13:34.980,s,,
511,00:13:34.980,00:13:35.780,x,,
512,00:13:35.780,00:13:36.180,s,,
513,00:13:36.180,00:13:38.220,x,,
514,00:13:38.220,00:13:39.060,s,,
515,00:13:39.060,00:13:39.560,x,1.0,B
516,00:13:39.560,00:13:40.360,s,1.0,B
517,00:13:40.360,00:13:41.740,x,1.0,B
518,00:13:41.740,00:13:42.120,s,1.0,B
519,00:13:42.120,00:13:43.460,x,,
520,00:13:43.460,00:13:45.060,s,,
521,00:13:45.060,00:13:45.960,x,,
522,00:13:45.960,00:13:46.480,s,,
523,00:13:46.480,00:13:48.020,x,,
524,00:13:48.020,00:13:49.140,s,2.0,B
525,00:13:49.140,00:13:50.160,x,2.0,B
526,00:13:50.160,00:13:51.360,s,2.0,B
527,00:13:51.360,00:13:51.960,x,,
528,00:13:51.960,00:13:54.260,s,,
529,00:13:54.260,00:13:54.400,x,,
530,00:13:54.400,00:13:55.640,s,,
531,00:13:55.640,00:13:56.600,x,0.0,A
532,00:13:56.600,00:13:57.600,s,0.0,A
533,00:13:57.600,00:13:57.700,x,0.0,A
534,00:13:57.700,00:13:58.340,s,0.0,A
535,00:13:58.340,00:13:58.460,x,,
536,00:13:58.460,00:14:01.180,s,,
537,00:14:01.180,00:14:04.040,x,,
538,00:14:04.040,00:14:06.880,s,1.0,D
539,00:14:06.880,00:14:13.900,x,4.0,A
540,00:14:13.900,00:14:14.480,s,,
541,00:14:14.480,00:14:16.900,x,,
542,00:14:16.900,00:14:17.920,s,,
543,00:14:17.920,00:14:18.240,x,,
544,00:14:18.240,00:14:18.600,s,,
545,00:14:18.600,00:14:23.740,x,,
546,00:14:23.740,00:14:25.240,s,,
547,00:14:25.240,00:14:27.100,x,,
548,00:14:27.100,00:14:27.860,s,,
549,00:14:27.860,00:14:29.820,x,,
550,00:14:29.820,00:14:30.180,s,,
551,00:14:30.180,00:14:30.460,x,,
552,00:14:30.460,00:14:31.780,s,,
553,00:14:31.780,00:14:32.120,x,,
554,00:14:32.120,00:14:32.600,s,,
555,00:14:32.600,00:14:33.580,x,,
556,00:14:33.580,00:14:34.020,s,,
